order,genotype,slide_date,id_num,t1_teeth,t1_gaps,t1_abn,t1_extra_comb,t2_teeth,notes
1,5070,9-23-10,1,9,1,2,0,3,
2,5070,9-23-10,2,9,0,0,0,0,
3,5070,9-23-10,3,10,1,0,1,0,
4,5070,9-23-10,4,12,0,1,0,0,
5,5070,9-23-10,5,10,1,0,0,0,
6,WT_SAM,9-24-10,1,10,0,0,0,0,
7,WT_SAM,9-24-10,2,11,0,0,0,0,
8,WT_SAM,9-24-10,3,9,0,0,0,0,
9,WT_SAM,9-24-10,4,9,0,0,0,0,
10,WT_SAM,9-24-10,5,11,0,0,0,0,
11,WT_SAM,9-24-10,6,9,0,0,0,0,
12,5070,9-24-10,1,11,0,0,0,0,
13,5070,9-24-10,2,9,1,0,0,0,
14,5070,9-24-10,3,10,2,0,0,0,
15,5070,9-24-10,4,9,0,0,0,0,
16,5070,9-24-10,5,10,0,0,0,0,
17,5070,9-24-10,6,11,0,0,0,0,
18,5070,9-24-10,7,11,0,0,0,0,
19,5070,9-28-10,1,10,0,0,0,0,
20,5070,9-28-10,2,10,0,0,0,0,
21,5070,9-28-10,3,9,1,0,0,2,
22,5070,9-28-10,4,9,2,1,0,2,
23,5070,9-28-10,5,9,0,0,0,1,
24,5070,9-28-10,6,9,0,1,0,1,
25,5070,9-28-10,7,9,2,0,0,0,t1 comb isn't in a straight row--bent slightly
26,5070,9-28-10,8,10,1,0,0,2,transverse bristle rows are all messed up
27,5070,9-28-10,9,11,0,0,0,1,
28,5070,9-28-10,10,9,1,0,0,3,
29,5070,9-28-10,11,NA,0,0,0,0,
30,5070,9-28-10,12,9,1,0,0,1,
31,5070,9-28-10,13,11,0,0,0,0,
32,5070,9-28-10,14,11,0,0,0,0,
33,5070,9-28-10,15,11,0,0,0,2,teeth are uneven in length
34,5070,9-28-10,16,11,0,1,0,1,
35,5070,9-28-10,17,11,0,0,0,1,
36,5070,9-28-10,18,9,1,0,0,2,
37,5070,9-28-10,19,10,0,0,0,3,
38,WT_ORE,9-28-10,1,11,0,0,0,0,
39,WT_ORE,9-28-10,2,10,0,0,0,0,
40,WT_ORE,9-28-10,3,10,0,0,0,0,
41,WT_ORE,9-28-10,4,11,0,0,0,0,
42,WT_ORE,9-28-10,5,10,0,0,0,0,
43,WT_ORE,9-28-10,6,11,0,0,0,0,
44,WT_ORE,9-28-10,7,9,0,0,0,0,
45,WT_ORE,9-28-10,8,11,0,0,0,0,
46,WT_ORE,9-28-10,9,10,0,0,0,0,teeth have uneven lengths
47,WT_ORE,9-28-10,10,9,0,0,0,0,
48,WT_FVW,2010-01-10,1,10,0,0,0,0,
49,WT_FVW,2010-01-10,2,10,0,0,0,0,
50,WT_FVW,2010-01-10,3,10,0,0,0,0,
51,WT_FVW,2010-01-10,4,10,0,0,0,0,
52,WT_FVW,2010-01-10,5,12,0,0,0,0,
53,WT_FVW,2010-01-10,6,10,0,0,0,0,
54,WT_FVW,2010-01-10,7,11,1,0,0,0,
55,WT_FVW,2010-01-10,8,12,0,0,0,0,
56,WT_FVW,2010-01-10,9,11,0,0,0,0,
57,WT_FVW,2010-01-10,10,12,0,0,0,0,
58,WT_FVW,2010-01-10,11,11,0,0,0,0,
59,WT_FVW,2010-01-10,12,9,0,0,0,0,
60,WT_FVW,2010-01-10,13,11,0,0,1,0,
61,WT_FVW,2010-01-10,14,12,0,0,0,0,uneven
62,WT_FVW,2010-01-10,15,10,0,0,0,0,
63,WT_FVW,2010-01-10,16,NA,0,0,0,0,
64,WT_FVW,2010-01-10,17,10,0,0,0,0,
65,WT_FVW,2010-01-10,18,10,0,0,0,0,
66,WT_FVW,2010-01-10,19,11,0,0,0,0,
67,WT_FVW,2010-01-10,20,10,0,0,0,0,
68,WT_FVW,2010-01-10,21,10,0,0,0,0,
69,WT_FVW,2010-04-10,1,10,0,0,0,0,
70,WT_FVW,2010-04-10,2,9,0,0,0,0,
71,WT_FVW,2010-04-10,3,9,0,0,0,0,
72,WT_FVW,2010-04-10,4,9,0,0,0,0,
73,WT_FVW,2010-04-10,5,10,0,0,0,0,
74,WT_FVW,2010-04-10,6,10,0,0,0,0,
75,WT_FVW,2010-04-10,7,12,0,0,0,0,
76,WT_FVW,2010-04-10,8,10,0,0,0,0,
77,WT_FVW,2010-04-10,9,12,0,0,0,0,
78,WT_FVW,2010-04-10,10,9,0,0,0,0,
79,WT_FVW,2010-04-10,11,11,0,0,0,0,
80,WT_FVW,2010-04-10,12,10,0,0,0,0,
81,WT_FVW,2010-04-10,13,9,0,0,0,0,
82,WT_FVW,2010-04-10,14,11,0,0,0,0,
83,WT_FVW,2010-04-10,15,12,0,0,0,0,
84,WT_FVW,2010-04-10,16,11,0,0,0,0,
85,WT_FVW,2010-04-10,17,10,0,0,0,0,
86,WT_FVW,2010-04-10,18,9,0,0,0,0,
87,WT_FVW,2010-06-10,1,12,0,0,0,0,uneven
88,WT_FVW,2010-06-10,2,10,0,0,0,0,
89,WT_FVW,2010-06-10,3,11,0,0,0,0,
90,WT_FVW,2010-06-10,4,10,0,0,0,0,
91,WT_FVW,2010-06-10,5,12,0,0,0,0,
92,WT_FVW,2010-06-10,6,9,0,0,0,0,
93,WT_FVW,2010-06-10,7,11,0,0,0,0,
94,WT_FVW,2010-06-10,8,10,0,0,0,0,
95,WT_FVW,2010-06-10,9,9,0,0,0,0,
96,WT_FVW,2010-06-10,10,10,0,0,0,0,
97,WT_FVW,2010-06-10,11,12,0,0,0,0,
98,WT_FVW,2010-06-10,12,11,0,0,0,0,
99,WT_FVW,2010-06-10,13,10,0,0,0,0,
100,WT_FVW,2010-06-10,14,12,0,0,0,0,
101,WT_FVW,2010-06-10,15,11,0,0,0,0,
102,WT_FVW,2010-06-10,16,9,0,0,0,0,
103,WT_FVW,2010-06-10,17,12,0,0,0,0,
104,WT_FVW,2010-06-10,18,10,0,0,0,0,
105,ORE,2010-08-10,1,11,0,0,0,1,
106,ORE,2010-08-10,2,12,0,0,0,2,
107,ORE,2010-08-10,3,9,0,0,0,1,
108,SAM,2010-08-10,1,9,2,0,0,1,
109,SAM,2010-08-10,2,10,2,0,0,3,
110,SAM,2010-08-10,3,11,0,0,0,3,
111,SAM,2010-08-10,4,11,0,0,0,1,uneven length and width on t1
112,SAM,2010-08-10,5,10,0,0,0,5,
113,SAM,2010-08-10,6,10,0,0,0,5,
114,ORE,2010-11-10,1,11,0,1,0,3,
115,ORE,2010-11-10,2,12,0,2,0,1,
116,ORE,2010-11-10,3,12,1,0,0,0,
117,ORE,2010-11-10,4,12,0,0,0,0,
118,ORE,2010-11-10,5,12,0,1,0,0,
119,ORE,2010-11-10,6,9,0,0,0,3,
120,ORE,2010-11-10,7,11,0,1,0,0,
121,ORE,2010-11-10,8,11,0,1,0,0,
122,ORE,2010-11-10,9,NA,0,0,0,0,
123,ORE,2010-11-10,10,11,0,0,0,0,
124,SAM,2010-11-10,1,13,0,0,0,2,
125,SAM,2010-11-10,2,NA,0,0,0,0,
126,SAM,2010-11-10,3,11,0,1,0,3,
127,SAM,2010-11-10,4,12,,1,0,3,
128,SAM,2010-11-10,5,9,0,0,0,4,
129,ORE,10-13-10,1,11,0,0,0,1,uneven
130,ORE,10-13-10,2,10,0,0,0,0,
131,ORE,10-13-10,3,11,0,0,0,3,
132,ORE,10-13-10,4,10,0,1,0,0,
133,ORE,10-13-10,5,10,0,1,0,0,
134,ORE,10-13-10,6,10,0,0,0,2,
135,ORE,10-13-10,7,10,0,0,0,0,
