chr,start,end,strand,id
X,8724674,8725901,+,lncRNA:CR43297
X,9694186,9697558,+,btd
X,9191657,9192548,+,CG12057
X,10086527,10148876,+,RhoU
X,8923960,8924449,+,CG43255
X,9194750,9196414,-,CG12118
X,10231002,10233080,-,Ipod
X,9149309,9151976,+,Bap111
X,8437057,8441264,+,CG1440
X,9608946,9623243,+,CG42797
X,8481837,8483311,+,Cp38
X,9236460,9236518,-,mir-4916
X,8463296,8464438,-,Sptr
X,10114340,10208574,-,asRNA:CR44894
X,9232726,9236585,-,Ir8a
X,9142493,9147894,+,CG7065
X,9571537,9579987,-,LPCAT
X,9078823,9081057,-,CG7246
X,9581493,9581917,-,lncRNA:CR45540
X,9243817,9245925,+,Larp7
X,9236801,9243467,-,mxc
X,9069599,9071408,-,CG10970
X,10672433,10673466,-,CG12637
X,8517373,8555170,+,Nrg
X,10205292,10212374,-,CG15309
X,9665442,9687066,-,nej
X,8240684,8241483,+,CG2147
X,9215785,9216540,+,CG15368
X,10050951,10052636,-,Yp2
X,8965801,8965912,+,mir-4964
X,9284649,9303636,+,lz
X,10482028,10487205,-,CG32687
X,8473837,8476071,+,Cp7Fb
X,8269898,8271409,-,Corp
X,8716713,8720277,-,l(1)G0020
X,10660955,10661843,-,Rab9E
X,10375374,10376628,+,CG2898
X,9159514,9160052,-,CG9034
X,8397157,8398298,-,CR15345
X,8835306,8836724,+,lncRNA:CR45537
X,9356634,9358594,+,BCL7-like
X,9225437,9226688,+,CG15370
X,9227137,9228827,+,Gr8a
X,9087129,9088073,+,CG32706
X,10473938,10477201,+,CG2889
X,9148080,9149071,-,fh
X,9868068,9868568,-,CG45060
X,9273413,9275653,+,Aladin
X,8489348,8517029,+,CG33181
X,9445815,9446212,-,CG44815
X,8707974,8708184,+,lncRNA:CR44508
X,10711163,10744943,-,stx
X,10371717,10375316,-,CG32686
X,8707213,8708006,-,lncRNA:CR44507
X,9030205,9054575,+,Nost
X,10348170,10348337,+,snoRNA:U3:9B
X,10010481,10014279,+,CG2990
X,9091230,9091299,+,mir-13b-2
X,9691470,9692417,-,lncRNA:CR44016
X,10443911,10443989,-,snoRNA:Me28S-A1705
X,9554623,9555661,+,RpS28b
X,9089513,9092826,+,CCT2
X,10622355,10623225,-,Rab9Db
X,8602137,8606304,-,Caf1-180
X,9927973,9930948,-,Idgf4
X,8714936,8717065,+,CG1785
X,9887972,9899585,-,CG15249
X,9966615,9977405,-,CG43386
X,10256629,10261804,+,asRNA:CR43959
X,10264233,10265263,-,CG12643
X,9192669,9193620,+,CG12056
X,10596122,10599169,+,CG2124
X,9533818,9534625,+,CG34026
X,8922888,8923687,-,CG12661
X,9158622,9159375,+,Dlip1
X,9314685,9315171,+,lncRNA:CR44534
X,8972908,9048991,-,lncRNA:CR43836
X,9778742,9782094,+,CG1354
X,10598146,10602714,-,CG1628
X,9551140,9553750,-,l(1)G0320
X,9054698,9067983,-,CG15365
X,8907068,9029476,+,rdgA
X,9260697,9261332,+,ric8b
X,8241501,8244016,-,sni
X,10458186,10459676,-,Or9a
X,9358496,9500129,-,mgl
X,9093612,9103739,-,CG7766
X,9575126,9576247,-,CG42395
X,9965241,9966959,+,CG1889
X,10328877,10329872,-,Gip
X,10460736,10461878,+,Neb-cGP
X,9120717,9120918,-,lncRNA:CR45539
X,9189326,9190605,-,CG12115
X,10657680,10660671,+,CG2111
X,10053811,10055498,+,Yp1
X,8248651,8251687,-,ND-75
X,10083154,10085050,+,CG2972
X,8983634,8984190,-,CG12662
X,8178549,8240474,+,sdt
X,8276200,8367169,-,nAChRalpha3
X,10214858,10216642,-,CG2962
X,10061627,10062785,+,Gr9a
X,8272324,8273806,-,CG15343
X,8972908,8974255,-,CG10962
X,9214876,9215699,+,Obp8a
X,9659095,9662903,-,CG3106
X,9555607,9556544,-,CG15317
X,8477117,8478320,+,Cp7Fc
X,9196808,9201820,-,su(r)
X,10326464,10328946,+,CG2909
X,8398940,8404516,+,CG10555
X,8691820,8693620,-,CG11294
X,10383353,10385861,-,Psf3
X,8441247,8442348,-,CG12123
X,8630159,8650681,-,oc
X,10055629,10070868,-,CG15312
X,9879870,9880535,+,CG9686
X,9268438,9269925,-,CG17440
X,10220110,10230088,+,CG34408
X,8558879,8560192,-,CG12112
X,8242528,8248033,+,Trxr-1
X,10410391,10454895,-,CG32683
X,9256168,9259202,+,ric8a
X,10124347,10124445,+,snoRNA:Me18S-A627
X,8433923,8437820,-,Miga
X,8709652,8712478,+,Hexo2
X,9259218,9260522,-,CR17438
X,8385781,8389504,+,CG1387
X,9228796,9232378,-,CG12121
X,10376651,10381352,-,CG32681
X,9884442,9885044,+,CG9691
X,9585675,9589813,+,Hex-A
X,10385960,10409817,+,flw
X,8712472,8714924,-,CG2004
X,9275318,9283117,-,c11.1
X,10565842,10566591,-,CG15296
X,10054235,10055109,-,asRNA:CR45601
X,9082931,9085867,+,APC4
X,9595082,9595467,+,lncRNA:CR45543
X,9261376,9267698,-,Erk7
X,9511524,9512162,+,CG34028
X,8409272,8433011,+,Trf2
X,10233347,10263485,-,Hk
X,10217913,10219139,-,CG15308
X,8681252,8688760,+,CG11284
X,9070318,9078499,-,CG44325
X,9590093,9590619,-,lncRNA:CR45542
X,10432465,10432812,-,CG12640
X,8690327,8691811,+,Ogg1
X,8408008,8411658,-,lawc
X,9929889,9930006,-,snoRNA:Me28S-U1688
X,8588811,8590774,+,CG12081
X,10478838,10481943,+,PPP4R2r
X,10153612,10155009,+,CG12645
X,8273412,8276450,+,CG1636
X,10210181,10210636,+,lncRNA:CR43899
X,10217627,10219303,+,asRNA:CR45629
X,9270434,9272960,-,Cfp1
X,9324508,9356227,-,CG34449
X,8252670,8272462,+,CG1632
X,8433087,8433809,-,CG32712
X,10477260,10478493,-,CG2887
X,10330160,10331818,-,CG15306
X,10084914,10086171,-,CG2974
X,10417429,10418219,+,RabX2
X,8324491,8325189,-,lncRNA:CR43695
X,10602641,10620190,-,CG43347
X,8564408,8565178,-,asRNA:CR46195
X,8592031,8602036,+,Crag
X,9206126,9210887,-,SmydA-9
X,10368052,10384183,+,CG17841
X,9978153,9980564,-,CG15252
X,9140242,9141965,-,lncRNA:CR44517
X,8570208,8570948,-,CG12111
X,9162092,9163153,+,CG44532
X,10627737,10710947,+,X11Lbeta
X,8904144,8906248,-,e(r)
X,9081063,9082746,+,HP1b
X,9160124,9162090,-,Zpr1
X,9329016,9330487,-,CG34450
X,8919640,8920467,-,lncRNA:CR44111
X,8838323,8872774,+,CG12075
X,9584177,9584575,+,lncRNA:CR45541
X,10744508,10745250,+,lncRNA:CR44766
X,10623725,10627112,-,CG9806
X,9216872,9217466,+,CG15369
X,9727923,9728488,-,lncRNA:CR43498
X,8873012,8898332,-,Moe
X,8404535,8407263,-,PIG-T
X,9908663,9911126,-,CG1986
X,9871098,9871702,-,CG45061
X,9163255,9189309,+,mei-P26
X,10071391,10071734,+,lncRNA:CR45602
X,8901699,8903761,+,Rbm13
X,10204400,10205289,+,lncRNA:CR32690
X,9878422,9879279,+,CG1468
X,9121973,9135099,-,fend
X,8571099,8573593,-,spirit
X,8456837,8457632,-,CG32713
X,10461865,10474675,-,nocte
X,9688189,9689295,+,lncRNA:CR42657
X,9193898,9195333,+,CG12106
X,9247342,9250037,+,Dsor1
X,10071858,10082492,-,ZAP3
X,8590775,8591729,-,CG12659
X,8560322,8570159,+,Trf4-1
X,8484194,8484580,+,lncRNA:CR43834
X,10490069,10585422,-,spri
X,8447691,8455069,-,org-1
X,9502826,9550838,-,CG32700
X,8465690,8483885,-,CG33223
X,9783223,9855449,+,CG32698
X,8574306,8588528,+,CG12065
X,9865233,9867070,+,Ser7
X,9069741,9070087,+,asRNA:CR45538
X,10366402,10367472,-,CG32679
X,8458494,8460898,-,CG15347
X,8720520,8721503,+,CG1789
X,9626294,9659145,-,Ptpmeg2
X,9103870,9106604,-,Bx42
X,9085932,9086864,+,CG32708
X,9874493,9876672,-,CG15247
X,8993305,8993431,-,mir-31b
X,8898554,8900264,-,CG1885
X,8677063,8680912,+,CG12772
X,9989690,10006882,+,CG32694
X,9557539,9558466,-,lncRNA:CR42767
X,9274714,9274862,+,snoRNA:CG16892-a
X,10044909,10048156,-,asRNA:CR45185
X,10590920,10595855,-,Hmr
X,8525387,8529698,-,PIP82
X,9156929,9158515,-,Ost48
X,10333652,10347794,+,CG43740
X,10158434,10195337,+,CG43902
X,9108691,9117744,+,AP-1gamma
X,8461479,8463349,+,Es2
X,9729648,9756369,+,Sp1
X,10744502,10749097,+,ras
X,9963453,9964878,-,CG1791
X,8688627,8690227,-,Ppt1
X,9088367,9089314,+,CG6999
X,10266792,10325958,-,alpha-Man-Ia
X,9152523,9156669,-,His3.3B
X,9107069,9108354,+,Arfrp1
X,8479319,8480523,+,Cp36
X,9245915,9247336,-,amx
X,9319359,9324458,+,c12.2
X,8470888,8473087,+,Cp7Fa
X,9558665,9571308,-,Cubn
X,8485008,8489535,-,otu
X,9317915,9319223,-,c12.1
X,9881953,9883670,+,CG9689
X,9217655,9223257,-,t
X,10589089,10589985,+,Rab9D
X,8467443,8469012,-,CG12116
X,9250420,9255953,+,CG17754
X,8555239,8558781,-,IntS4
X,9601030,9604280,+,Gga
X,9606363,9608884,-,LysRS
X,10348680,10366273,-,l(1)G0289
X,10212970,10217393,+,ATPsyndelta
X,9604154,9605969,-,Lst8
X,9872382,9874057,-,CG32695
X,10016845,10050803,+,Cht6
X,10009210,10010049,+,CG33557
X,8756539,8805804,-,Lim1
